just	Sadece
site	alan
project	proje
figure	figür
chance	şans
computer	bilgisayar
environmental	çevresel
left	sol
ready	hazır
film	film
growth	büyüme
record	kayıt
knowledge	bilgi
rate	oran
hot	sıcak
serious	cidden
training	eğitim
language	dil
board	pano
daughter	kız çocuğu
fine	iyi
financial	mali
result	sonuç
behavior	davranış
poor	fakir
tv	TV
price	fiyat
television	televizyon
street	sokak
course	kurs
happy	mutlu
risk	risk
blue	mavi
leave	ayrılmak
let	izin vermek
cup	bardak
democratic	demokratik
movie	film
success	başarı
treatment	tedavi
value	değer
provide	sağlamak
need	ihtiyaç
hospital	hastane
trade	ticaret
various	çeşitli
effort	çaba
religious	din
simple	basit
race	ırk
difference	fark
sex	seks
window	pencere
wall	duvar
author	yazar
indeed	Aslında
career	kariyer
analysis	analiz
stop	durmak
list	liste
cultural	kültürel
test	test
quality	kalite
happen	olmak
ability	yetenek
management	yönetmek
member	üye
legal	yasal
sound	ses
green	yeşil
approach	yaklaşmak
size	boyut
move	taşınmak
science	bilim
movement	hareket
entire	bütün
meet	tanışmak
choice	seçenek
call	Arama
main	ana
order	emir
close	kapalı
traditional	geleneksel
final	son
pressure	basınç
type	tip
nice	Güzel
huge	büyük
truth	gerçek
picture	resim
cold	soğuk
dark	karanlık
commercial	reklam
image	görüntü
deal	anlaşmak
environment	çevre
individual	bireysel
specific	özel
popular	popüler
start	başlangıç
stay	kalmak
particular	özel
peace	barış
article	madde
politics	politika
radio	radyo
eye	göz
piece	parça
disease	hastalık
sexual	cinsel
live	canlı
mean	Anlam
amount	miktar
brother	Erkek kardeş
bill	fatura
color	renk
star	yıldız
necessary	gerekli
opportunity	fırsat
middle	orta
stuff	şey
republican	cumhuriyetçi
beautiful	Güzel
bank	banka
cost	maliyet
heat	sıcaklık
organization	organizasyon
design	tasarım
section	bölüm
video	video
positive	olumlu
box	kutu
department	departman
region	bölge
university	üniversite
impact	darbe
instead	yerine
break	kırmak
sort	düzenlemek
total	toplam
range	menzil
response	cevap
production	üretme
scene	sahne
violence	şiddet
pain	ağrı
loss	kayıp
buy	satın almak
weight	ağırlık
leader	lider
stock	stoklamak
modern	modern
doctor	doktor
glass	bardak
senate	senato
turn	dönüş
skin	deri
civil	sivil
page	sayfa
kitchen	mutfak
stage	sahne
cancer	kanser
learn	öğrenmek
senior	kıdemli
global	küresel
western	batılı
run	koşmak
source	kaynak
mouth	ağız
subject	ders
professional	profesyonel
create	yaratmak
key	anahtar
spring	bahar
step	adım
conference	konferans
arm	kol
majority	çoğunluk
message	mesaj
press	basmak
fresh	taze
theory	teori
set	ayarlamak
capital	başkent
agency	ajans
critical	kritik
effective	etkili
budget	bütçe
answer	cevap
therefore	Öyleyse
ball	top
crime	suç
bit	biraz
trouble	bela
activity	aktivite
african	Afrika
access	erişim
southern	güney
successful	başarılı
soviet	Sovyet
gas	gaz
store	mağaza
continue	devam etmek
please	Lütfen
alone	yalnız
heavy	ağır
camera	kamera
trial	duruşma
insurance	sigorta
election	seçim
base	temel
nuclear	nükleer
dinner	akşam yemeği
original	orijinal
basic	temel
executive	yönetici
letter	mektup
safety	emniyet
dog	köpek
goal	amaç
station	istasyon
sorry	Üzgünüm
surface	yüzey
event	etkinlik
rock	kaynak
reality	gerçeklik
meeting	toplantı
deep	derin
marriage	evlilik
perfect	mükemmel
material	malzeme
player	oyuncu
sun	güneş
labor	iş gücü
win	kazanç
remember	Unutma
wide	geniş
character	karakter
powerful	güçlü
sister	kız kardeş
professor	profesör
hotel	otel
term	terim
british	İngiliz
collection	koleksiyon
chair	sandalye
style	stil
edge	kenar
trip	seyahat
chinese	Çince
concern	kaygı
officer	memur
lack	eksiklik
safe	güvenli
freedom	özgürlük
degree	derece
fall	düşmek
tough	zorlu
front	ön
manager	müdür
attorney	avukat
network	ağ
ice	buz
very	çok
product	ürün
credit	kredi
sky	gökyüzü
potential	potansiyel
christian	Hıristiyan
european	Avrupa
gun	silah
committee	komite
debate	çekişme
sea	deniz
example	örnek
kid	çocuk
normal	normal
income	gelir
tree	ağaç
thought	düşünce
independent	bağımsız
magazine	dergi
seem	gözükmek
previous	öncesi
agreement	anlaşma
speak	konuşmak
speech	konuşma
seat	koltuk
rich	zengin
plant	bitki
status	durum
audience	kitle
wind	rüzgâr
gold	altın
hold	tutmak
fear	korku
present	Sunmak
presence	mevcudiyet
structure	yapı
property	mülk
direction	yön
leadership	liderlik
crisis	kriz
basis	temel
understanding	anlayış
garden	bahçe
additional	ek olarak
memory	hafıza
attack	saldırı
discussion	tartışma
search	aramak
beginning	başlangıç
average	ortalama
strategy	strateji
read	Okumak
investment	yatırım
mission	misyon
learning	öğrenme
bar	çubuk
rather	yerine
quick	hızlı
cause	neden
build	inşa etmek
authority	yetki
text	metin
tiny	minik
responsibility	sorumluluk
vision	görüş
artist	sanatçı
corner	köşe
variety	çeşitlilik
brain	beyin
interview	röportaj
task	görev
academic	akademik
annual	yıllık
living	yaşamak
begin	başlamak
reform	reform
chairman	başkan
justice	adalet
female	dişi
anyway	Neyse
statement	ifade
coach	koç
native	yerli
faith	inanç
distance	mesafe
foot	ayak
allow	izin vermek
baseball	beyzbol
coffee	Kahve
protect	korumak
equipment	teçhizat
firm	firma
army	ordu
purpose	amaç
sign	imza
afraid	korkmuş
french	Fransızca
park	park
responsible	sorumlu
investigation	soruşturma
version	versiyon
song	şarkı
historical	tarihi
wonderful	müthiş
regular	düzenli
generation	nesil
forest	orman
protection	koruma
hell	cehennem
internet	internet
chief	şef
intelligence	istihbarat
prison	hapishane
scale	ölçek
indian	Hint
act	davranmak
identity	kimlik
moral	ahlaki
competition	yarışma
negative	negatif
bag	çanta
focus	odak
track	izlemek
threat	tehdit
active	aktif
apartment	daire
wild	vahşi
battle	savaş
twice	iki kere
survey	anket
explain	açıklamak
primary	öncelik
feeling	his
construction	yapı
factor	faktör
screen	ekran
appropriate	uygun
neighborhood	komşu
spirit	ruh
card	kart
direct	doğrudan
conflict	anlaşmazlık
literature	edebiyat
educational	eğitici
write	yazmak
complete	tamamlamak
warm	ılık
opinion	fikir
develop	geliştirmek
challenge	meydan okumak
soft	yumuşak
conversation	konuşma
district	semt
judge	yargıç
date	tarih
fund	fon
aware	farkında olmak
lead	yol göstermek
kill	öldürmek
football	futbol
spend	harcamak
okay	Tamam
daily	günlük
shoulder	omuz
crowd	kalabalık
quiet	sessizlik
fair	adil
dangerous	tehlikeli
machine	makine
earth	toprak
bright	parlak
strength	kuvvet
eastern	doğu
iraqi	Irak
male	erkek
context	bağlam
importance	önem
salt	tuz
fully	tamamen
writer	yazar
avoid	kaçınmak
speed	hız
rule	kural
progress	ilerlemek
stone	taş
lawyer	avukat
famous	ünlü
condition	durum
plane	uçak
restaurant	restoran
dream	rüya
familiar	aşina
note	Not
smile	gülümsemek
mental	zihinsel
unit	birim
alive	canlı
camp	kamp
watch	kol saati
band	bant
domestic	yerel
secretary	sekreter
cool	Serin
union	birlik
religion	din
eat	yemek yemek
return	geri dönmek
neck	boyun
extra	ekstra
supreme	yüce
animal	hayvan
shot	atış
hope	umut
murder	cinayet
cell	hücre
vote	oy
presidential	başkanlık
inc	dahil
youth	gençlik
operation	operasyon
wine	şarap
russian	Rusça
newspaper	gazete
sport	spor
stand	durmak
software	yazılım
urban	kentsel
boat	bot
review	gözden geçirmek
fast	hızlı
lose	kaybetmek
otherwise	aksi takdirde
mom	anne
painting	tablo
complex	karmaşık
village	köy
northern	kuzey
save	kaydetmek
editor	editör
reach	ulaşmak
flight	uçuş
river	nehir
expect	beklemek
club	kulüp
county	kontluk
influence	etkilemek
possibility	olasılık
favorite	favori
failure	arıza
will	irade
scientific	ilmi
drive	sürmek
increase	arttırmak
healthy	sağlıklı
corporate	kurumsal
democracy	demokrasi
medicine	ilaç
plastic	plastik
path	yol
empty	boş
breath	nefes
king	kral
shape	şekil
bottom	alt
ship	gemi
regional	bölgesel
dry	kuru
advantage	avantaj
sugar	şeker
concept	kavram
background	arka plan
emotional	duygusal
weather	hava durumu
account	hesap
straight	dümdüz
tradition	gelenek
clean	temiz
fat	yağ
patient	hasta
perspective	perspektif
farm	çiftlik
aid	yardım
sell	satmak
candidate	aday
title	başlık
sweet	tatlı
spot	leke
determine	belirlemek
truck	kamyon
teaching	öğretim
birth	doğum
argument	argüman
prime	astar vurmak
sit	oturmak
abuse	suistimal etmek
rain	yağmur
classroom	sınıf
yellow	sarı
ethnic	etnik
victory	zafer
somehow	bir şekilde
impossible	imkansız
follow	takip etmek
jury	jüri
advice	tavsiye
consider	dikkate almak
internal	dahili
sample	örnek
driver	sürücü
send	Göndermek
assessment	değerlendirme
anymore	artık değil
contract	sözleşme
expensive	masraflı
partner	ortak
lunch	öğle yemeği
strange	garip
wait	Beklemek
gender	cinsiyet
include	katmak
owner	mal sahibi
thinking	düşünme
brown	kahverengi
desk	çalışma masası
unique	eşsiz
method	yöntem
exchange	değişme
guard	koruma
extent	kapsam
chest	göğüs
cash	peşin
actual	gerçek
chicken	tavuk
japanese	Japonca
prevent	önlemek
border	sınır
reduce	azaltmak
traffic	trafik
thin	ince
balance	denge
comfortable	rahat
catholic	Katolik
solution	çözüm
dad	baba
serve	sert
angry	sinirli
improve	geliştirmek
obvious	bariz
bus	otobüs
standard	standart
hole	delik
golf	golf
offer	teklif
tall	uzun
exercise	egzersiz yapmak
reading	okuma
fuel	yakıt
agent	ajan
die	ölmek
snow	kar
desire	arzu
pattern	model
silence	sessizlik
pick	seçmek
half	yarım
truly	tamamen
metal	maden
basketball	basketbol
writing	yazma
correct	doğru
long-term	uzun vadeli
hall	salon
walk	yürümek
contrast	zıtlık
sick	hasta
beauty	güzellik
tape	kaset
produce	üretmek
jewish	Yahudi
governor	vali
shop	mağaza
english	İngilizce
suit	uygun olmak
quarter	çeyrek
crazy	deli
damage	zarar
stress	stres
target	hedef
respect	Saygı
golden	altın
slow	yavaş
german	Almanca
imagine	hayal etmek
measure	ölçüm
contact	temas etmek
cut	kesmek
tour	tur
multiple	çoklu
thick	kalın
coverage	kapsama
neither	hiç biri
conservative	tutucu
nose	burun
wood	odun
meaning	Anlam
raise	artırmak
reaction	tepki
grow	büyümek
sight	görünüş
ancient	antik
equal	eşit
share	paylaşmak
minister	bakan
meanwhile	Bu sırada
expression	ifade
fight	kavga
bowl	tas
surprise	sürpriz
typical	tipik
official	resmi
attempt	girişim
parent	ebeveyn
opposition	muhalefet
horse	atış
emergency	acil durum
contemporary	modern
commitment	bağlılık
consumer	tüketici
relief	rahatlama
funny	eğlenceli
industrial	endüstriyel
accept	kabul etmek
pool	havuz
welfare	refah
used	kullanılmış
fun	eğlence
faculty	fakülte
initial	ilk
capacity	kapasite
theater	tiyatro
pass	geçmek
overall	etraflı
essential	gerekli
estate	emlak
separate	ayırmak
mountain	dağ
confidence	kendinden emin
charge	şarj
museum	müze
sir	Sayın
surgery	ameliyat
criminal	suçlu
studio	stüdyo
leg	bacak
storm	fırtına
terrible	korkunç
meat	et
league	lig
reporter	muhabir
m	M
vice	mengene
somewhat	biraz
attitude	davranış
island	ada
soil	toprak
tired	yorgun
legislation	mevzuat
era	dönem
rural	kırsal
adult	yetişkin
carry	taşımak
visual	görsel
rare	nadir
cover	kapak
liberal	liberal
dance	dans
add	eklemek
grade	seviye
communication	iletişim
useful	kullanışlı
e-mail	e-posta
soul	ruh
location	konum
upper	üst
israeli	İsrail
gift	hediye
trail	iz
cream	krem
join	katılmak
block	engellemek
danger	tehlike
beach	sahil
broad	geniş
sleep	uyumak
planet	gezegen
careful	dikkatli olmak
fishing	balıkçılık
minority	azınlık
core	çekirdek
train	tren
percentage	yüzde
massive	cüsseli
gray	gri
bedroom	yatak odası
agree	kabul etmek
vast	büyüklük
function	işlev
fashion	moda
airport	havalimanı
ph	ph
bridge	köprü
milk	süt
solid	sağlam
creative	yaratıcı
guilty	suçlu
telephone	telefon
technical	teknik
address	adres
notion	fikir
gay	eşcinsel
secret	gizli
demand	talep etmek
enormous	kocaman
dress	elbise
panel	paneli
lady	bayan
assistance	yardım
proud	gurur duymak
illegal	yasa dışı
worry	endişelenmek
debt	borç
spiritual	manevi
visit	ziyaret etmek
connection	bağlantı
manner	biçim
participation	katılım
pepper	biber
busy	Meşgul
beer	bira
distribution	dağıtım
cheese	peynir
climate	iklim
shirt	gömlek
prove	kanıtlamak
crew	mürettebat
unusual	olağan dışı
engine	motor
proper	düzgün
travel	seyahat
musical	müzikal
content	içerik
map	harita
option	seçenek
post	postalamak
depression	depresyon
remain	geriye kalmak
pleasure	zevk
combination	kombinasyon
mistake	hata
waste	atık
plate	plaka
package	paket
funding	finansman
outside	dıştan
landscape	manzara
identify	tanımlamak
silent	sessiz
circle	daire
code	kod
appear	belli olmak
vehicle	araç
association	dernek
novel	roman
frame	çerçeve
maintain	sürdürmek
housing	konut
narrow	dar
expert	uzman
consistent	tutarlı
arab	Arap
decide	karar vermek
planning	planlama
teach	öğretmek
curriculum	müfredat
regime	rejim
rise	yükselmek
appearance	dış görünüş
excellent	harika
length	uzunluk
bird	kuş
motion	hareket
grass	çimen
alcohol	alkol
master	usta
accident	kaza
opening	açılış
dramatic	dramatik
pocket	cep
tea	çay
temperature	sıcaklık
smart	akıllı
childhood	çocukluk
abortion	kürtaj
instruction	talimat
supply	tedarik
flow	akış
victim	kurban
moreover	Dahası
grand	büyük
formal	resmi
coast	sahil
realize	fark etmek
mirror	ayna
lucky	şanslı
achievement	başarı
cable	kablo
bread	ekmek
belief	inanç
finger	parmak
existence	varoluş
division	bölüm
universe	evren
council	konsey
afford	parası yetmek
mass	yığın
ear	kulak
steel	çelik
violent	şiddetli
catch	yakalamak
respond	yanıtlamak
spanish	İspanyol
choose	seçmek
guide	rehber
racial	ırksal
immediate	acil
psychological	psikolojik
host	ev sahibi
achieve	başarmak
resolution	çözünürlük
sharp	keskin
glad	memnun
intervention	araya girmek
struggle	çabalamak
mexican	Meksika
forget	unutmak
joint	eklem yeri
sale	satış
involvement	katılım
creation	yaratılış
recognize	tanımak
resistance	rezistans
self	öz
opposite	zıt
photo	fotoğraf
correspondent	muhabir
double	çift
conclusion	çözüm
practical	pratik
numerous	çeşitli
noise	gürültü
brief	kısa bilgi
sad	üzgün
pull	çekmek
dust	toz
engineering	mühendislik
marketing	pazarlama
spending	harcama
zone	alan
object	nesne
actor	aktör
digital	dijital
congressional	kongre
institution	kurum
fundamental	esas
sauce	sos
listen	Dinlemek
independence	bağımsızlık
ring	yüzük
require	gerekmek
poverty	yoksulluk
proposal	teklif
breast	göğüs
enforcement	icra
forth	ileri
mayor	belediye başkanı
enemy	düşman
criticism	eleştiri
butter	tereyağı
asian	Asya
campus	kampüs
competitive	rekabetçi
parking	otopark
bottle	şişe
atmosphere	atmosfer
wave	dalga
emphasis	vurgu
cat	kedi
score	Gol
agenda	gündem
yard	bahçe
ride	sürmek
client	müşteri
mixture	karışım
lesson	ders
reader	okuyucu
handle	halletmek
ordinary	sıradan
immigration	göç
theme	tema
visible	görünür
chain	zincir
ocean	okyanus
discuss	tartışmak
therapy	terapi
severe	haşin
benefit	fayda
desert	çöl
receive	almak
library	kütüphane
transportation	toplu taşıma
honor	onur
ensure	emin olmak
diet	diyet
sand	kum
commission	komisyon
exposure	maruziyet
intense	yoğun
philosophy	felsefe
suicide	intihar
entertainment	eğlence
judgment	yargı
worker	işçi
coalition	koalisyon
tone	ton
principle	prensip
category	kategori
sector	sektör
usual	olağan
facility	tesis
roof	çatı
wedding	düğün
application	başvuru
anger	kızgınlık
selection	seçim
guest	misafir
row	sıra
crucial	hayati
luck	şans
taste	tatmak
recognition	tanıma
clip	klip
trust	güven
smoke	duman
nervous	gergin
constant	devamlı
transition	geçiş
electronic	elektronik
procedure	prosedür
pilot	pilot
weak	zayıf
revenue	hasılat
foundation	temel
hat	şapka
pink	pembe
capable	yetenekli
recovery	iyileşmek
document	belge
iron	ütü
elementary	temel
silver	gümüş
junior	genç
palestinian	Filistin
diversity	çeşitlilik
nearby	yakında
duty	görev
doubt	şüphe
breakfast	kahvaltı
terrorism	terörizm
hearing	işitme
holy	kutsal
juice	meyve suyu
online	çevrimiçi
clinical	klinik
corn	Mısır
volume	hacim
testing	test
personality	kişilik
fellow	aynı tür
route	rota
retirement	emeklilik
wooden	ahşap
bone	kemik
employment	istihdam
reference	referans
injury	incinme
latin	Latince
detail	detay
talent	yetenek
definition	tanım
historic	tarihi
inner	iç
check	kontrol etmek
wet	ıslak
shadow	gölge
throat	boğaz
tool	alet
release	serbest bırakmak
shock	şok
holiday	tatil
islamic	İslami
wear	giymek
moon	ay
bathroom	banyo
claim	iddia
permanent	kalıcı
winner	kazanan
rice	pirinç
due	vadesi dolmuş
muslim	Müslüman
touch	dokunmak
photograph	fotoğraf
web	ağ
apparent	belirgin
alternative	alternatif
trend	eğilim
substantial	varlıklı
anxiety	endişe
darkness	karanlık
biological	biyolojik
conventional	geleneksel
aggressive	agresif
bike	bisiklet
explanation	açıklama
phase	faz
reasonable	mantıklı
honest	dürüst
nevertheless	yine de
extreme	aşırı
smooth	düz
absence	yokluk
outcome	sonuç
sensitive	hassas
device	cihaz
setting	ayar
stomach	karın
lab	laboratuvar
birthday	doğum günü
p	P
giant	devasa
schedule	takvim
evaluation	değerlendirme
knife	bıçak
olympic	Olimpiyat
armed	silahlı
senator	senatör
wealth	varlık
gap	açıklık
FALSE	YANLIŞ
pure	saf
mail	posta
mood	mod
coat	kaban
classic	klasik
technique	teknik
democrat	demokrat
canadian	Kanadalı
literary	edebi
grandmother	büyükanne
pretty	tatlı
meal	yemek
album	albüm
egg	yumurta
edition	baskı
mad	kızgın
super	süper
universal	evrensel
reputation	itibar
jacket	ceket
journey	seyahat
difficulty	zorluk
journal	dergi
survive	hayatta kalmak
valuable	değerli
flat	düz
passage	geçit
approval	onay
distant	mesafe
constitutional	anayasal
warning	uyarı
ultimate	nihai
stupid	aptal
gate	geçit
strategic	stratejik
passion	tutku
spokesman	sözcü
electric	elektrik
advertising	reklam
cooperation	işbirliği
poll	anket
italian	İtalyan
furniture	mobilya
extraordinary	olağanüstü
teaspoon	çay kaşığı
minor	küçük
promise	söz
discovery	keşif
survival	hayatta kalma
ceo	CEO
pregnant	hamile
display	görüntülemek
incident	olay
describe	betimlemek
boss	patron
column	kolon
blind	kör
disaster	felaket
relevant	ilgili
jail	hapishane
household	ev
it	BT
solar	güneş
though	Yine de
command	emretmek
appeal	çekici
substance	madde
establish	kurmak
psychology	psikoloji
external	harici
aspect	bakış açısı
genetic	genetik
destruction	yıkım
lake	göl
comparison	karşılaştırmak
terror	terör
reduction	kesinti
hunting	avcılık
draw	çizmek
awareness	farkındalık
broken	kırık
sheet	çarşaf
testimony	tanıklık
clothing	giyim
dirt	kir
settlement	yerleşim
shopping	alışveriş
hero	kahraman
satisfaction	memnuniyet
laughter	kahkaha
diverse	türlü
pace	adımlamak
lost	kayıp
ticket	bilet
chocolate	çikolata
description	Tanım
convention	kongre
cycle	döngü
skill	yetenek
electricity	elektrik
decline	reddetmek
customer	müşteri
dna	DNA
territory	bölge
instrument	enstrüman
odd	garip
chemical	kimyasal
fit	yerleştirmek
enjoy	Eğlence
deficit	açık
element	eleman
square	kare
prayer	namaz
accurate	kesin
feature	özellik
protein	protein
unlikely	olası değil
improvement	gelişim
fill	doldurmak
cheap	ucuz
being	yapı
nurse	hemşire
illness	hastalık
bunch	demet
garlic	sarımsak
rough	kaba
sentence	cümle
intellectual	entelektüel
interpretation	tercüme
interaction	etkileşim
perception	algı
affect	etkilemek
pan	tava
knee	diz
mention	değinmek
portion	porsiyon
comprehensive	kapsayıcı
bomb	bomba
hit	vurmak
expansion	genleşme
drink	içmek
wheel	teker
remarkable	dikkat çekici
employee	çalışan
championship	şampiyonluk
comment	Yorum
draft	taslak
assistant	asistan
defensive	savunma
mystery	gizem
tremendous	muazzam
extensive	yaygın
ideal	ideal
analyst	analist
perform	rol yapmak
discipline	disiplin
beat	vurmak
deputy	milletvekili
throw	fırlatmak
innocent	masum
graduate	mezun olmak
newly	yeni
suggest	tavsiye etmek
significance	önem
loan	borç
mutual	karşılıklı
height	yükseklik
considerable	hatırı sayılır
branch	dal
sudden	birden
soldier	asker
participate	katılmak
shift	vardiya
raw	çiğ
hill	tepe
pollution	kirlilik
paint	boyamak
fiction	kurgu
loose	gevşetmek
muscle	kas
fiber	lif
tank	tankı
revolution	devrim
hurt	acıtmak
apply	uygula
unknown	bilinmiyor
worth	değer
drama	dram
item	öğe
belt	kemer
carbon	karbon
file	dosya
pot	saksı
preparation	hazırlık
pale	solgun
remote	uzak
factory	fabrika
push	itmek
fan	fan
dialogue	diyalog
leather	deri
regardless	ne olursa olsun
attractive	çekici
pride	gurur
oven	fırın
cap	kap
athletic	atletik
resource	kaynak
honey	Bal
prominent	öne çıkan
gear	vites
bible	İncil
evolution	evrim
producer	yapımcı
stable	stabil
ceiling	tavan
stability	istikrar
confident	kendinden emin
promote	terfi
radical	radikal
dining	yemek
storage	depolamak
enter	girmek
friendly	arkadaşça
elderly	yaşlı
clock	saat
exist	var olmak
vital	hayati
entry	giriş
index	dizin
request	rica etmek
cake	kek
shit	bok
poetry	şiir
irish	İrlandalı
exhibition	sergi
stream	aktarım
cigarette	sigara
given	verildi
dirty	kirli
asleep	uyuya kalmak
bay	koy
ill	hasta
profit	kâr
tournament	turnuva
framework	çerçeve
weapon	silah
organic	organik
mix	karışım
topic	başlık
math	matematik
resort	tatil yeri
salad	salata
grandfather	büyükbaba
deck	güverte
mere	sadece
besides	Ayrıca
introduction	giriiş
tension	tansiyon
wire	tel
steady	sabit durmak
routine	rutin
caller	arayan
wisdom	bilgelik
efficient	verimli
highway	otoyol
congressman	kongre üyesi
vulnerable	hassas
gain	kazanmak
incredible	inanılmaz
since	o zamandan beri
agricultural	tarımsal
tip	uç
experiment	deney
tobacco	tütün
terrorist	terörist
rapid	ani
occur	meydana gelmek
institutional	kurumsal
cognitive	bilişsel
quite	epeyce
entrance	giriş
examine	incelemek
ad	reklam
solve	çözmek
proof	kanıt
furthermore	üstelik
vacation	tatil
initiative	girişim
impression	izlenim
delivery	teslimat
transmission	bulaşma
priority	öncelik
helpful	yardımsever
heaven	cennet
replace	yer değiştirmek
peak	doruğa ulaşmak
smell	koku
encourage	cesaretlendirmek
sufficient	yeterli
relative	akraba
downtown	şehir merkezi
consumption	tüketim
joy	neşe
tower	kule
argue	tartışmak
burden	yük
counter	tezgah
maintenance	Bakım
exception	istisna
print	baskı
citizen	vatandaş
porch	sundurma
comfort	konfor
advance	ilerlemek
imagination	hayal gücü
copy	kopyala
offensive	saldırgan
phenomenon	fenomen
pack	ambalaj
dominant	baskın
privacy	mahremiyet
commander	komutan
dependent	bağımlı
establishment	kuruluş
concert	konser
remove	kaldırmak
tongue	dil
consultant	danışman
tennis	tenis
fly	uçmak
controversial	tartışmalı
fate	kader
component	bileşen
painful	acı verici
miss	kayıp
witness	tanık
naked	çıplak
bench	tezgah
speaker	hoparlör
desperate	çaresiz
efficiency	yeterlik
orange	turuncu
funeral	cenaze
admit	itiraf etmek
killer	katil
fault	arıza
economics	ekonomi
manufacturing	üretme
clinic	klinik
joke	şaka
divorce	boşanmak
error	hata
civilian	sivil
membership	üyelik
controversy	tartışma
flesh	et
permission	izin
chamber	odacık
fence	çit
attend	katılmak
signal	sinyal
subsequent	sonraki
modest	mütevazı
curious	meraklı
flag	bayrak
tragedy	trajedi
discrimination	ayrımcılık
profession	meslek
drop	düşürmek
regulation	düzenleme
wonder	merak etmek
heritage	miras
gaze	bakış
affair	mesele
distinct	belirgin
badly	kötü
shooting	çekim
eager	istekli
crash	kaza
cotton	pamuk
consciousness	bilinç
inflation	enflasyon
platform	platformu
lemon	limon
offense	suç
brilliant	muhteşem
dish	tabak
romantic	romantik
humor	mizah
absolute	mutlak
colonial	sömürge
depth	derinlik
